wake,estimatedSleep,coffee,actualSleep
14550,7.393171949003172,2.203037301392479,28923
31387,4.24799716968159,1.594600544858244,17093
8160,7.786904232863476,1.0170810229187541,29355
2005,6.242050579923379,3.497478979346303,25859
34897,5.948699987489509,2.832013804534379,24244
23402,5.833648162618822,0.14165389371517587,21592
1326,8.948610599489019,0.7893227107243599,33347
6811,8.412058427824686,1.1977630541369244,31756
19570,8.050649469035664,1.1471336705527642,30411
3043,4.3472261410405455,0.2212134829963239,16311
11297,9.09862124483261,9.862874105328066,41439
4640,4.244730652237658,2.0650391048767305,17476
8815,9.574353158545042,9.767991778799411,43073
14233,5.0703297125771725,0.19388592122884804,18889
23990,9.279254623710852,6.038425641778275,38904
37392,9.306309526220343,2.3664876470308642,35943
15487,4.668634749279275,0.603364161071115,17784
26176,7.167836655058101,0.15363100344941372,26405
10017,6.454836109540204,4.7595080374478265,27674
2749,7.998083654631747,4.640378579239426,33132
32986,8.394852678765165,0.6949803227773704,31271
18943,5.801296644363705,1.6689502659180935,22748
22596,6.200363612756101,0.9344134243675739,23572
12962,7.052746569622856,3.6332270638455455,28887
17895,5.666053619035788,3.921072977661737,24135
38359,7.450271861012244,1.9457946359866323,28912
6068,4.71478164588842,0.4920497838796911,17859
13214,6.02356462037748,0.8700943423729809,22884
21220,5.326710570513363,2.237600626161111,21512
16646,9.919076572010981,0.5291876622913044,36622
36017,8.199156366024638,7.502456435039337,36232
11546,5.119028431278868,4.273460417898324,22461
6115,6.651914775425592,0.7713094710135289,25065
12144,8.596461920625902,1.9388414118115638,33036
2992,8.768347587818145,1.1472514481004943,32997
25625,5.523555869285678,0.4735832748266154,20752
25893,5.12531724880976,0.015590191625742742,18937
13770,8.331422491889233,4.671759082728707,34356
2475,7.950575242406352,1.834248975704155,30625
29228,4.77338994766721,8.10793919920036,24405
10148,8.545011164942846,1.874387533320055,32797
23004,9.517605725764366,0.7535943780824806,35363
2789,4.695076603111689,4.625432260770161,21228
1171,8.58812062358539,3.058076158402376,33938
6278,4.339215673553054,2.4005500163188516,18095
5524,9.718819454859172,0.5144834853665237,35892
28759,6.03826365793998,5.942480299694895,27156
29789,7.445595221032709,8.586925302940228,34423
13132,7.81683440368727,1.3656931681007773,29751
33791,9.543995087061782,0.9019863698471058,35580
16013,4.02769658029941,5.569366715130543,19610
16991,8.91143164761021,2.408726350996138,34559
37753,4.323725027895586,1.921538527110504,17637
11145,7.724969542258274,5.183794422382844,32599
24202,9.866476447920716,3.066291909611418,38544
35166,6.877714294132443,0.12388771233115711,25334
16278,7.637506371008392,1.4188341526402866,29150
450,7.025185859953006,4.377302030603912,29410
25659,6.252440003280348,2.3469434334178256,24934
16281,5.911539049726068,3.5217978997167307,24688
8975,8.929341075732241,3.698946556069535,35698
10708,7.5309717005979095,5.971926425234965,32557
22748,9.546533981227974,1.338065193129433,35954
27078,6.722432170667615,0.8552371776968909,25385
17547,8.947091034316598,9.188003760408497,40331
12633,6.032400922490531,0.8282557632414405,22881
37737,8.02834897138508,13.648219766864678,40733
3279,7.629030581286679,3.209439554629691,30611
36736,5.941230957059986,2.3933658102657054,23852
37159,8.908959848238624,3.184871616913544,35193
8714,5.232331838661642,0.5594154984560069,19777
37357,5.223660075427868,0.6675117945796437,19832
35845,6.498817847995712,0.4369945637020281,24230
20259,5.958811756208215,8.869284763688011,29307
35771,9.38587929655225,0.2660708442627486,34482
28862,8.46504563071898,2.064523811778488,32664
38635,4.110253362478104,1.0563964007132522,16147
17210,5.624385186968947,9.59037869672061,28703
28681,5.126366725389418,1.0994284230882145,19843
27059,4.338245220233938,4.895895389814441,20166
3596,6.839171527235793,2.8640537119432343,27480
17261,9.321459366537818,5.801262554946529,38860
22323,8.46327897912684,1.2813380183159375,32007
33124,8.531685266024724,11.120263370771706,40441
22470,6.524284419316861,0.11430821463300218,24056
1522,7.895505639970207,4.714477855343128,32823
39036,5.923891889276234,7.022441472858691,27642
